id,museum,title,era,material,size,description,detail_url,image,download_link
796,Staatliche Museen zu Berlin,Kopffragment,6. Jh.,"Lehm, gebrannt, mit Resten von Malschicht","Höhe x Breite x Tiefe: 10 x 8,5 x 7 cm",Dieses Fragment eines Kopfes beeindruckt durch seine ausgewogenen und symmetrischen Proportionen.,https://id.smb.museum/object/1840629/kopffragment,https://recherche.smb.museum/images/5832657_300x300.jpg,https://recherche.smb.museum/images/5832657_300x300.jpg
797,Staatliche Museen zu Berlin,Mönchs- oder Buddhakopf,,"Lehm, bemalt, mit Resten von Vergoldung",Höhe x Breite x Tiefe: 8 x 6 x 6 cm,"Durch den stark verwitterten Zustand der Oberfläche lässt sich nicht eindeutig klären, ob es sich bei diesem Objekt um einen Mönchs- oder Buddhakopf handelt. Spuren von Gold im Gesicht deuten jedoch auf den Kopf eines Buddhas hin.",https://id.smb.museum/object/1840627/monchs--oder-buddhakopf,https://recherche.smb.museum/images/5832656_300x300.jpg,https://recherche.smb.museum/images/5832656_300x300.jpg
798,Staatliche Museen zu Berlin,Teil eines Buddhakopfes,,"Lehm, mit Farbresten",Höhe x Breite x Tiefe: 8 x 5 x 4 cm,"Dieser kleine Kopf eines Buddhas ist zwar stark verwittert, aber seine ausgewogene Form ist immer noch deutlich erkennbar. Auch die Spuren einer weißen Grundierung sind vorhanden und es gilt anzunehmen, dass diese Figur ursprünglich bemalt oder gar vergoldet war.",https://id.smb.museum/object/1840626/teil-eines-buddhakopfes,https://recherche.smb.museum/images/5836716_300x300.jpg,https://recherche.smb.museum/images/5836716_300x300.jpg
799,Staatliche Museen zu Berlin,Ritter mit Helm,,"Lehm, niedrig gebrannt, mit Farbresten","Höhe x Breite x Tiefe: 10,5 x 6,5 x 8 cm",Innerhalb der Sammlung taucht dieser Typus eines Ritters mit Helm immer wieder auf. Er muss demgemäß aus einer häufig verwendeten Form hergestellt worden sein. Der starke Oberflächenglanz ist durch in der Vergangenheit eingebrachte Konservierungsmittel zu erklären.,https://id.smb.museum/object/1840623/ritter-mit-helm,https://recherche.smb.museum/images/5833809_300x300.jpg,https://recherche.smb.museum/images/5833809_300x300.jpg
800,Staatliche Museen zu Berlin,Stehende Figur Bodhisattva,,"Lehm, mit einer rötlichen Tonschicht, vermutlich ursprünglich bemalt","Höhe x Breite x Tiefe: 20,4 x 10,5 x 5 cm","Diese stehende Figur eines Bodhisattvas ist äußerst filigran gearbeitet worden. Gesicht, Krone und Haarschmuck sind noch deutlich erkennbar und seine rechte Hand umschließt sanft das in Falten geworfene und über seine rechte Schulter hängende Gewand. Womöglich war diese Skulptur ursprünglich bemalt. Die stark geglättete Oberflächenerscheinung ist auf die Verwendung eines tonhaltigen, rötlichen Putzes zurückzuführen.",https://id.smb.museum/object/1840581/stehende-figur-bodhisattva,https://recherche.smb.museum/images/4611976_300x300.jpg,https://recherche.smb.museum/images/4611976_300x300.jpg
801,Staatliche Museen zu Berlin,Aus einer Knospe entspriessende menschliche Figur,,"Lehm, gebrannt und mit Farbresten","Höhe x Breite x Tiefe: 15,5 x 9 x 4 cm","Diese, einer Knospe entsprungene, menschliche Figur hat ihre Hände andächtig gefaltet. Sie trägt einen ausladenden Rock, welcher der Figur Bewegung und Lebendigkeit verleiht. Derartige Figürchen wurden mittels einer schräg aus dem Rücken herausragenden Holzdübels öfters in die Einfassung der Aureolen großer Buddhafiguren eingesteckt.",https://id.smb.museum/object/1840577/aus-einer-knospe-entspriessende-menschliche-figur,https://recherche.smb.museum/images/5836853_300x300.jpg,https://recherche.smb.museum/images/5836853_300x300.jpg
802,Staatliche Museen zu Berlin,Sechs Totenschädel und Schale,,"Lehm, mit Farbresten","Höhe x Breite x Tiefe: a) 3,5 x 4 x 4,5 cm","Diese Ansammlung kleiner Totenschädel und die kleine Schale dienten möglicherweise als Ritualobjekt. Deutlich erkennbar sind die Herstellungsspuren sowie die Reste roter, grüner und schwarzer Bemalung.",https://id.smb.museum/object/1840546/sechs-totenschadel-und-schale,https://recherche.smb.museum/images/5832990_300x300.jpg,https://recherche.smb.museum/images/5832990_300x300.jpg
803,Staatliche Museen zu Berlin,Brahmanenkopf mit dreigeteilter Frisur,,"Lehm, gebrannt",Höhe x Breite x Tiefe: 10 x 7 x 6 cm,Dieser kleine Kopf ist sehr filigran und plastisch in der Modellierung seiner Gesichtszüge. Diese wirken dadurch besonders ausdrucksstark. Selbst das Haupthaar wurde fein herausgearbeitet.,https://id.smb.museum/object/1840538/brahmanenkopf-mit-dreigeteilter-frisur,https://recherche.smb.museum/images/5833799_300x300.jpg,https://recherche.smb.museum/images/5833799_300x300.jpg
804,Staatliche Museen zu Berlin,Bodhisattva-Kopf,,"Lehm, mit Resten von Ton und Malschicht","Höhe x Breite x Tiefe: 11 x 8,5 x 4 cm","Dieser Kopf eines Bodhisattva ist von einem ovalen Nimbus umrandet. Auffällig ist die reichlich verzierte Krone und seine, in sanften Wellen liegende Haarpracht. Reste einer weißen Grundierung lassen sich im Nimbus finden.",https://id.smb.museum/object/1840434/bodhisattva-kopf,https://recherche.smb.museum/images/5833791_300x300.jpg,https://recherche.smb.museum/images/5833791_300x300.jpg
805,Staatliche Museen zu Berlin,Buddhakopf,,"Lehm, gebrannt und bemalt","Höhe x Breite x Tiefe: 10,5 x 9 x 7 cm",Sanft und milde lächelt dieser Buddha den Betrachter an. Dieser kleine Kopf ist aus einer Form angefertigt worden und wurde im Anschluss gebrannt.,https://id.smb.museum/object/1840405/buddhakopf,https://recherche.smb.museum/images/5832723_300x300.jpg,https://recherche.smb.museum/images/5832723_300x300.jpg
806,Staatliche Museen zu Berlin,Dämonenkopf,,"Lehm, gebrannt und bemalt",Höhe x Breite x Tiefe: 7 x 6 x 6 cm,"Dieses Köpfchen eines Dämons zählt zu den wenigen Stücken innerhalb der Sammlung, welche auch rückseitig bearbeitet wurden. Es handelt sich hierbei möglicherweise um eine mobile Skulptur. Im Stirn befindet sich ein Drittes Auge.",https://id.smb.museum/object/1840400/damonenkopf,https://recherche.smb.museum/images/5832759_300x300.jpg,https://recherche.smb.museum/images/5832759_300x300.jpg
807,Staatliche Museen zu Berlin,Buddhakopf,,"Lehm, gebrannt, mit Resten von Malschicht und Vergoldung","Höhe x Breite x Tiefe: 9,5 x 6 x 6,5 cm","Dieses Köpfchen eines Buddhas besticht durch seine ausgewogenen. Ohren und Kopfschmuck haben sich leider nicht mehr erhalten, der Zustand stellt sich insgesamt als stark verwittert dar.",https://id.smb.museum/object/1840397/buddhakopf,https://recherche.smb.museum/images/5832727_300x300.jpg,https://recherche.smb.museum/images/5832727_300x300.jpg
808,Staatliche Museen zu Berlin,Ritterkopf,,"Lehm, niedrig gebrannt, mit Farbresten","Höhe x Breite x Tiefe: 11,4 x 6 x 5 cm",Innerhalb der Sammlung taucht dieser Typus eines Ritters mit Helm immer wieder auf. Er muss demgemäß aus einer häufig verwendeten Form hergestellt worden sein. Ursprünglich waren sein Gesicht und sein Helm farbenfroh bemalt. Spuren dieser Malschicht sind bis heute erhalten geblieben.,https://id.smb.museum/object/1840396/ritterkopf,https://recherche.smb.museum/images/5833811_300x300.jpg,https://recherche.smb.museum/images/5833811_300x300.jpg
809,Staatliche Museen zu Berlin,Kopffragment,,"Lehm, gebrannt","Höhe x Breite x Tiefe: 8,1 x 5,5 x 4,5 cm",Das Gesicht dieses Kopffragmentes besticht durch seine großen und hervorquellenden Augen. Ungewöhnlich ist auch die Frisur dieser Gestalt. Feine Furchen kennzeichnen die Darstellung seiner Haarpracht. Im Stirn ist ein drittes Auge. Die Figur ist also eine Gottheit oder eine Dämonische Gestalt.,https://id.smb.museum/object/1840395/kopffragment,https://recherche.smb.museum/images/5836705_300x300.jpg,https://recherche.smb.museum/images/5836705_300x300.jpg
810,Staatliche Museen zu Berlin,Brahmanenkopf,,Lehm mit Resten weißer Grundierung,"Höhe x Breite x Tiefe: 9,5 x 6 x 6 cm","Dieser kleine Kopf eines Brahmanen weist eine überaus plastische Ausarbeitung seiner charismatischen Gesichtszüge vor. Deutlich zu erkennen ist sein langer Bart, seine breite Nase und seine, in tiefe Falten geworfene Stirn.",https://id.smb.museum/object/1840394/brahmanenkopf,https://recherche.smb.museum/images/5833807_300x300.jpg,https://recherche.smb.museum/images/5833807_300x300.jpg
811,Staatliche Museen zu Berlin,Kopf,6.-7. Jh.,"Lehm, mit Farbresten","Höhe x Breite x Tiefe: 11 x 9,5 x 8,5 cm",Dieser kleine Kopf besticht durch seine Formschönheit und seine in strenger Symmetrie gearbeiteten Gesichtszüge. Die Mundwinkel sind leicht nach oben gezogen und verleihen seinem Gesichtsausdruck ein sanft ruhendes Lächeln.,https://id.smb.museum/object/1840390/kopf,https://recherche.smb.museum/images/5832969_300x300.jpg,https://recherche.smb.museum/images/5832969_300x300.jpg
812,Staatliche Museen zu Berlin,Kopffragment mit Schmuckband,6. Jh.,"Lehm, gebrannt und mit Farbresten","Länge x Breite x Tiefe: 16,5 x 10 x 8 cm",Bei diesem Fragment eines Kopfes handelt es sich womöglich um eine Devata. Deutlich erkennbar sind die Haarpracht und das Schmuckband auf dem Kopf.,https://id.smb.museum/object/1840373/kopffragment-mit-schmuckband,https://recherche.smb.museum/images/5832722_300x300.jpg,https://recherche.smb.museum/images/5832722_300x300.jpg
813,Staatliche Museen zu Berlin,Kopffragment eines Brahmanen,6. Jh.,"Lehm, gebrannt und mit Farbresten","Höhe x Breite x Tiefe: 6,5 x 5,5 x 5 cm","Dieses Kopffragment eines Brahmanen wirkt durch die tiefen, charismatischen Falten und Furchen seiner Gesichtszüge sehr lebendig.",https://id.smb.museum/object/1840364/kopffragment-eines-brahmanen,https://recherche.smb.museum/images/5832719_300x300.jpg,https://recherche.smb.museum/images/5832719_300x300.jpg
814,Staatliche Museen zu Berlin,Kopffragment,10. Jh.,Schiefer,"Höhe x Breite x Tiefe: 7 x 5 x 3,5 cm","Dieses Köpfchen wurde aus schwarzem Schiefer gefertigt – sehr selten in der Turfan-Region. Seine Oberflächen sind spiegelglatt und zeugen von höchster Bildhauerkunst. Fundort Kocho ist nicht sicher, da die kleine Skulptur gekauft wurde.",https://id.smb.museum/object/1840363/kopffragment,https://recherche.smb.museum/images/5836857_300x300.jpg,https://recherche.smb.museum/images/5836857_300x300.jpg
815,Staatliche Museen zu Berlin,Kleiner Kopf,,Lehm mit rötlicher Tonschicht,"Höhe x Breite x Tiefe: 6,7 x 7,4 x 5,5 cm","Diesen kleinen Kopf aus Lehm ziert ein, an einen Turban erinnernder, Kopfschmuck. Die Gesichtspartie ist zwar stark verwittert, aber das milde Lächeln im Gesichtsausdruck dieser Figur ist immer noch deutlich erkennbar.",https://id.smb.museum/object/1840362/kleiner-kopf,https://recherche.smb.museum/images/5833696_300x300.jpg,https://recherche.smb.museum/images/5833696_300x300.jpg
816,Staatliche Museen zu Berlin,Holzplanke,,"Holz, bemalt und vergoldet","Höhe x Breite x Tiefe: 60,5 x 10,5 x 2,6 cm","Dieses hölzerne Brett war ursprünglich reich mit Goldapplikationen verziert. Die Reste von schwarz, weiß und rot bemalten konzentrischen Bändern lassen vermuten, dass es sich um einen Nimbus handelte.",https://id.smb.museum/object/1792213/holzplanke,https://recherche.smb.museum/images/5842089_300x300.jpg,https://recherche.smb.museum/images/5842089_300x300.jpg
817,Staatliche Museen zu Berlin,Fries,,Holz mit Resten von Malschicht,"Höhe x Breite x Tiefe: 51,3 x 24,8 x 2,9 cm","Dieses einst bunt bemalte Holzpaneel wird von einem gezackten Muster geziert und imitiert einen Bettvorhang, wie das auch von Wandmalereien aus Kizil bekannt ist, wo der Buddha auf seinem Totenbett liegt. Ein ähnlicher dreieckiger Volant aus Seide wurde in Tumshuk gefunden.",https://id.smb.museum/object/1792209/fries,https://recherche.smb.museum/images/5842908_300x300.jpg,https://recherche.smb.museum/images/5842908_300x300.jpg
818,Staatliche Museen zu Berlin,Brett mit uigurischer Schrift,,"Holz, bemalt","Höhe x Breite x Tiefe: 81,5 x 31,8 cm","Großes Holzbrett (wahrscheinlich ein Möbelteil), längsseitig gespalten, mit mehreren kleinen Dübellöchern und zwei viereckigen größeren Perforationen. Reste roter Farbe. Uigurische Schrift auf beiden Seiten: Toyunčog Tutuŋ wird namentlich als Schreiber identifiziert, dies ist eine Schreibübung, die den Tausend-Zeichen-Klassiker (Qianziwen 千字文) zitiert: ein Text zum Erlernen chinesischer Schriftzeichen. Dies ist ein Beweis für die weite Verbreitung des Wissens über diesen Text unter den Altuiguren.Large wooden board (probably part of a piece of furniture), split along the long side, with several small dowel holes and 2 larger square perforations. Remains of red paint. Uyghur script on both sides: Toyunčog Tutuŋ identified by name as the scribe, this is a writing exercise quoting the Thousand Characters Classic (Qianziwen 千字文): a text for learning Chinese characters. This is evidence for the broad dissemination of knowledge about this text among the Old Uyghurs.",https://id.smb.museum/object/1792204/brett-mit-uigurischer-schrift,https://recherche.smb.museum/images/5845340_300x300.jpg,https://recherche.smb.museum/images/5845340_300x300.jpg
819,Staatliche Museen zu Berlin,rechteckiges Architekturfragment (Tür?),,"Holz, geschnitzt","Höhe x Breite x Tiefe: 57,3 x 15,7 x 8,8 cm","Dieses, mit aufwendigen Schnitzereien verzierte, Architekturfragment war einst vermutlich Teil einer Tür.",https://id.smb.museum/object/1792202/rechteckiges-architekturfragment-tur,https://recherche.smb.museum/images/5845338_300x300.jpg,https://recherche.smb.museum/images/5845338_300x300.jpg
820,Staatliche Museen zu Berlin,Säulenbasis,,"Holz, geschnitzt","Höhe x Breite x Tiefe: 20,1 x 38,7 x 36,2 cm",Diese runde Säulenbasis ist schlicht in ihrer Ausführung und steht auf einem schmucklosen Sockel in Form eines Quaders. Die runde Form deutet auf mögliche Beziehungen mit der Kunst der Sogder. aus den Gebieten der heutigen Tadschikistan und Usbekistan. C-14 Datierung 899 – 1024. [SM8HF],https://id.smb.museum/object/1792199/saulenbasis,https://recherche.smb.museum/images/4602047_300x300.jpg,https://recherche.smb.museum/images/4602047_300x300.jpg
821,Staatliche Museen zu Berlin,Kultbildrahmen,,Holz,"Höhe x Breite x Tiefe: 32,4 x 30,2 x 3,5 cm","Die ursprüngliche Funktion dieses Architekturelementes ist nicht eindeutig geklärt. Das Holz ist sehr morsch und stark verwittert, aber es lassen sich noch Farbreste einer einstigen Bemalung erkennen.",https://id.smb.museum/object/1792192/kultbildrahmen,https://recherche.smb.museum/images/5845837_300x300.jpg,https://recherche.smb.museum/images/5845837_300x300.jpg
822,Staatliche Museen zu Berlin,Segment eines großen Holzobjektes,,"Holz, geschnitzt","Höhe x Breite x Tiefe: 41 x 6,8 x 4 cm",Dieses rundliche Segment eines großen Holzobjektes hatte gewiss eine praktische Funktion innerhalb des Architekturverbundes. Davon zeugt die Einkerbung in der Mitte dieses Elementes.,https://id.smb.museum/object/1714683/segment-eines-grossen-holzobjektes,https://recherche.smb.museum/images/5845839_300x300.jpg,https://recherche.smb.museum/images/5845839_300x300.jpg
823,Staatliche Museen zu Berlin,Bodhisattva Avalokiteshvara,7.- 8. Jh.,Bronze,"Höhe x Breite x Tiefe: 8,9 x 4,2 x 2 cm","Während der Tang-Zeit nahm die Popularität des Bodhisattva Avalokiteshvara enorm zu und keine andere buddhistische Gottheit war Gegenstand so vieler Kunstwerke. Diese kleine Statuette ist ähnlich wie andere in der Sammlung aus Bronze (z. B. III 539). Vermutlich wurden sie auf den Pilgerrouten aus Zentralchina mitgebracht. Avalokiteshvara steht in anmutiger Pose auf einem Lotussockel, den Lotus hält er in der linken Hand, die Flasche in der rechten. Bänder fallen von seiner Krone.During the Tang period the popularity of the bodhisattva Avalokiteshvara increased enormously and no other Buddhist deity was the subject of so many works of art. This statuette is similar to others in the collection made out of bronze (e.g. III 539). They were probably brought along the pilger routes from Central China. Avalokiteshvara stands in a graceful pose on a lotus pedestal, the lotus in his left hand, the flask in his right. Ribbons fall from his crown.",https://id.smb.museum/object/982060/bodhisattva-avalokiteshvara,https://recherche.smb.museum/images/5838052_300x300.jpg,https://recherche.smb.museum/images/5838052_300x300.jpg
824,Staatliche Museen zu Berlin,Yarkand-Teppich mit Granatapfel- Muster 新疆沙車清十八世期石榴紋羊毛毯,18. Jahrhundert,Baumwolle (Kette und Schuß); Wolle (Knoten),Länge x Breite: 430 x 210 cm,".... mit schwarzem-rotem Granatapfel-Vasen Muster auf blauem Grund.
""..Knüpfung: .6 x 40 = 1440 Sennahknoten auf 10 qcm""",https://id.smb.museum/object/1018342/yarkand-teppich-mit-granatapfel--muster-%E6%96%B0%E7%96%86%E6%B2%99%E8%BB%8A%E6%B8%85%E5%8D%81%E5%85%AB%E4%B8%96%E6%9C%9F%E7%9F%B3%E6%A6%B4%E7%B4%8B%E7%BE%8A%E6%AF%9B%E6%AF%AF,https://recherche.smb.museum/images/2706753_300x300.jpg,https://recherche.smb.museum/images/2706753_300x300.jpg
825,Staatliche Museen zu Berlin,Vajrapani und unten Padmasambhava,Qing (Mandschu) –Dynastie (Mitte),"Tempera auf Baumwolle, montiert mit Seide","Blattmaß: 85,0 x 54,5 cm",,https://id.smb.museum/object/132464/vajrapani-und-unten-padmasambhava,https://recherche.smb.museum/images/4310639_300x300.jpg,https://recherche.smb.museum/images/4310639_300x300.jpg
826,Staatliche Museen zu Berlin,,,"Wollfilz, Wollgarn, Webstoff","Höhe x Breite x Tiefe: 42 x 29 x 2,5 cm","Filztasche, oval, rot;
Rückseite gewebt, braun",https://id.smb.museum/object/188361/tasche,https://recherche.smb.museum/images/1383971_300x300.jpg,https://recherche.smb.museum/images/1383971_300x300.jpg
